nachname;vorname;geburtstag
Merkel;Angela Dorothea;17.07.1954
Scholz;Olaf;14.06.1958
Habeck;Robert;02.09.1969
Lindner;Christian;07.01.1979
Baerbock;Annalena Charlotte Alma;15.12.1980
Merz;Friedrich;11.11.1955
Adenauer;Konrad;05.01.1876
Erhard;Ludwig;04.02.1897
Kiesinger;Kurt Georg;06.04.1904
Brandt;Willy;18.12.1913
Schmidt;Helmut;23.12.1918
Kohl;Helmut Josef Michael;03.04.1930
Schröder;Gerhard;07.04.1944
Wissler;Janine;23.05.1981
Weidel;Alice;06.02.1979
Chrupalla;Tino;14.04.1975
von Goethe;Johann Wolfgang;28.08.1749
Schiller;Johann Christoph Friedrich;10.11.1759
Koch;Heinrich Hermann Robert;11.12.1843
Luther;Martin;10.11.1483
Calvin;Johannes;10.07.1509
Spurgeon;Charles Haddon;19.07.1834
